ano,time,coach
2017,"USP-SP - ¯\_( ""/ )_/¯", Renzo Gomez
2017,"USP-SP - ¯\_( ""/ )_/¯",Marcos Kawakami. 
2017,USP-SC - Trei Linha, Danilo Tedeschi
2017,USP-SC - Trei Linha,Bruno Sanches 
2017,UFPE - ALT, Katia Guimarães
2017,UFPE - ALT,Mario Henrique da Silva 
2017,USP-SP - dog hits dog, Renzo Gomez
2017,USP-SP - dog hits dog,Marcos Kawakami.
2017,UFCG - Choose difficulty: TITAN, Rohit Gheyi 
2017,UFRN - Ginga com Tapioca, Carlos Prolo
2017,UFRN - Ginga com Tapioca, Sergio Medeiros
2017,UFRN - Ginga com Tapioca,Rafael Gomes. 
2017,UFCG - Se juntas causa imagina juntas, Rohit Gheyi.
2017,UFRJ - esse é meu time, Marcia Cerioli. 
2017,IME - Lorem Ipsum, Claudia Justel
2017,IME - Lorem Ipsum,Geraldo Avelino. 
2017,ITA - CalopsITA, Armando Gouveia.
